id,task,Frame,stream_1,AD_State
33,D,625620,8,1
33,D,627137,8,1
33,J,30872,0,1
33,J,40862,7,1
33,J,41237,7,0
33,J,41239,7,1
33,J,41263,7,0
33,J,41412,8,0
33,J,41717,8,1
33,J,41850,8,0
33,J,41852,8,1
33,J,41908,8,0
33,J,42248,8,0
33,M,583947,0,1
33,M,598687,7,1
33,M,599088,7,0
33,M,599090,7,1
33,M,599112,7,0
33,M,599233,8,0
33,M,599501,8,1
33,M,600133,8,1
33,P,3752,0,0
33,P,15414,7,1
33,P,15861,7,0
33,P,15863,7,1
33,P,15886,7,0
33,P,15958,8,0
33,P,16275,8,1
33,P,17424,8,1
33,W,554007,0,1
33,W,567014,7,1
33,W,567558,8,1
33,W,567625,8,0
33,W,567627,8,1
33,W,567688,8,0
33,W,568012,8,1
33,W,568995,8,1
34,D,43826,0,1
34,D,57727,7,1
34,D,57895,7,0
34,D,58294,8,0
34,D,58606,8,1
34,D,58669,8,0
34,D,59058,8,1
34,D,59777,8,1
34,J,89668,0,1
34,J,99658,7,1
34,J,100150,7,0
34,J,100152,7,1
34,J,100188,7,0
34,J,100201,8,0
34,J,100503,8,0
34,M,7164,0,0
34,M,21836,7,1
34,M,22218,7,0
34,M,22220,7,1
34,M,22266,7,0
34,M,22383,8,0
34,M,23688,8,1
34,M,26014,8,1
34,P,64337,0,1
34,P,76068,7,1
34,P,76489,7,0
34,P,76491,7,1
34,P,76536,7,0
34,P,76612,8,0
34,P,76860,8,1
34,P,78362,8,1
34,W,114107,0,0
34,W,127242,7,1
34,W,127570,7,0
34,W,127572,7,1
34,W,127592,7,0
34,W,127790,8,0
34,W,128046,8,1
34,W,129146,8,1
35,D,607795,0,1
35,D,621638,7,1
35,D,621930,7,0
35,D,622188,8,0
35,D,622254,8,1
35,D,622890,8,1
35,J,663052,0,1
35,J,673103,7,1
35,J,673440,7,0
35,J,673654,8,0
35,J,673765,8,1
35,J,674481,8,1
35,M,713303,0,1
35,M,728041,7,1
35,M,728468,7,0
35,M,728585,8,0
35,M,728857,8,1
35,M,729291,8,1
35,P,628388,0,1
35,P,640181,7,1
35,P,640713,7,0
35,P,640725,8,0
35,P,641169,8,1
35,P,643460,8,1
35,W,688122,0,1
35,W,701064,7,1
35,W,701414,7,0
35,W,701612,8,0
35,W,701868,8,1
35,W,702449,8,1
37,D,180043,0,1
37,D,194011,7,1
37,D,194241,7,0
37,D,194572,8,0
37,D,194630,8,1
37,D,195463,8,1
37,J,97618,0,0
37,J,107604,7,1
37,J,108096,7,0
37,J,108098,7,1
37,J,108114,7,0
37,J,108146,8,0
37,J,108465,8,1
37,J,109279,8,1
37,M,153515,0,1
37,M,168191,7,1
37,M,168449,7,0
37,M,168451,7,1
37,M,168490,7,0
37,M,168744,8,0
37,M,168814,8,1
37,M,169883,8,1
37,P,200111,0,1
37,P,211777,7,1
37,P,212051,7,0
37,P,212311,7,1
37,P,212334,8,1
37,P,213211,8,1
37,W,127087,0,1
37,W,140033,7,1
37,W,140420,7,0
37,W,140422,7,1
37,W,140436,7,0
37,W,140581,8,0
37,W,140708,8,1
37,W,142209,8,1
38,D,308224,0,1
38,D,322063,7,1
38,D,322245,7,0
38,D,322247,7,1
38,D,322293,7,0
38,D,322618,7,1
38,D,322628,8,1
38,D,322680,8,0
38,D,322747,8,1
38,D,323190,8,1
38,J,355362,0,1
38,J,365415,7,1
38,J,365567,7,0
38,J,365569,7,1
38,J,365623,7,0
38,J,365883,7,1
38,J,365986,8,1
38,J,366426,8,1
38,M,280622,0,1
38,M,295361,7,1
38,M,295595,7,0
38,M,295921,8,0
38,M,295984,8,1
38,M,296727,8,1
38,P,328184,0,1
38,P,339976,7,1
38,P,340152,7,0
38,P,340154,7,1
38,P,340188,7,0
38,P,340448,7,1
38,P,340543,8,1
38,P,342008,8,1
38,W,249852,0,0
38,W,263309,7,1
38,W,263551,7,0
38,W,263553,7,1
38,W,263599,7,0
38,W,263869,8,0
38,W,264246,8,1
38,W,265075,8,1
39,D,263126,0,1
39,D,277092,7,1
39,D,277275,7,0
39,D,277277,7,1
39,D,277326,7,0
39,D,277664,8,0
39,D,277844,8,1
39,D,278763,8,1
39,J,312189,0,1
39,J,322369,7,1
39,J,322684,7,0
39,J,322686,7,1
39,J,322708,7,0
39,J,322922,8,0
39,J,323097,8,1
39,J,324860,8,1
39,M,226976,0,1
39,M,241780,7,1
39,M,242117,7,0
39,M,242119,7,1
39,M,242143,7,0
39,M,242328,8,0
39,M,242596,8,1
39,M,244383,8,1
39,P,283308,0,1
39,P,295038,7,1
39,P,295369,7,0
39,P,295371,7,1
