task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
P,93.064,102.3192,644.7174,29.0799,7.666667,2.0111,1298.3114,1,4.606430008,0.328875146,103,18.513077,8.114840291,0.022376543,0,0,0,0,0,0,0,0,5.716666667,60.99672239
W,87.9502,101.7639,682.2045,39.5622,8.8,3.0469,5000.4776,1,3.949641917,0.281983892,80,15.969108,7.504156593,0.019048997,0,0,0,0,0,0,0,0,3.733333333,48.50059705
D,70.6761,77.7001,848.9429,52.2642,7,1.6965,1686.2544,0.182959946,-0.589267554,-0.066185517,89,10.609636,8.122200959,0.02961034,5012.869506,71.61242152,48729.5,71,7.774266,71.99833818,0.072916667,980.8226913,2.783333333,55.23308572
J,103.2805,111.1935,580.9423,12.7965,5.2,1.19,203.9417,0.97721943,4.143410387,0.465380717,103,19.304569,8.267282923,0.027777778,65.12296062,65.12296062,0,2,0.520942,67.64705882,0.004665799,36.93251341,5.616666667,27.19799547
M,89.3034,103.1282,671.8667,30.8662,9,7.6029,1109.258,0.967775468,2.036594372,0.228746771,80,22.571248,6.454056512,0.011766975,142.9650093,47.65500311,1669.5,4,0.290618,68.8172043,0.006618924,67.41540968,4.983333333,28.16654403
P,77.5014,84.1279,774.1795,37.4661,6.5,2.3104,1431.279,0.897781011,2.219391604,0.249278242,82,20.357031,7.54072918,0.018277392,213.3431799,53.33579499,1098,5,1.662919,66.5480427,0.015190972,173.1776639,4.566666667,39.9350465
W,95.0715,103.5197,631.1042,24.2921,6.857143,1.9394,984.0197,0.863244795,2.162532163,0.242891887,62,19.756141,7.613704534,0.02107446,239.4820806,29.93526008,1642,9,1.923435,65.6167979,0.018446181,197.9906718,5.883333333,35.70830624
D,72.2553,78.2881,830.3889,37.5614,7.2,4.1688,3634.8234,0.300840336,-0.592551915,-0.036350333,54,23.021688,7.915928363,0.02970679,3288.006269,109.600209,64916.5,31,18.223042,35.24038462,0.043836806,538.4339559,4.983333333,99.41185438
J,70.3125,76.9823,853.3333,39.8558,7.2,3.1774,1219.0241,0.977926421,7.66009063,0.469911312,89,22.260484,8.100220191,0.027584877,0,0,0,1,0.100124,71.21212121,0.00531684,45.41670075,6.683333333,20.64201748
M,76.4767,87.5146,784.5526,38.9225,9.5,2.9124,3639.4036,0.827325781,2.986426305,0.183203512,75,21.06761,7.997855751,0.028308256,578.4877121,64.27641246,8211,10,3.466094,53.67793241,0.017144097,247.6496221,7.1,21.14653303
P,71.1286,83.3565,843.5429,73.2369,11.666667,1.1168,3889.5605,0.95685878,3.377482983,0.207193039,99,21.489089,8.581828218,0.031876929,73.02739212,73.02739212,0,2,0.961695,56.25,0.006618924,86.22005791,5.666666667,33.1374758
W,78.4077,84.6262,765.2308,32.0932,7.8,10.212,3782.0521,0.965517241,3.830716208,0.234996812,49,24.784805,7.097797017,0.016734182,52.95280918,52.95280918,0,2,0.370636,69.30693069,0.005642361,46.26297066,7.966666667,63.82878125
D,71.0588,87.3108,844.3714,32.1875,7,1.2429,750.998,0.332623358,0.478351121,0.030335593,38,21.408557,7.37288363,0.02570409,1790.822713,89.54113566,43689,21,15.057032,40.79787234,0.043402778,522.0503575,3.866666667,32.82580779
J,72.8376,78.3904,823.75,25.7059,7.2,4.9711,794.7376,0.969241774,2.362104647,0.14979759,95,15.728241,8.19317932,0.022087191,37.05401463,37.05401463,0,2,0.320616,75.58139535,0.006184896,52.51443286,7.8,63.00421741
M,73.6441,89.8204,814.7297,36.1677,7.4,7.4527,1972.1799,0.884169884,0.952612816,0.060411847,74,17.631506,8.209635694,0.027391975,1924.647987,192.4647987,81900.5,11,1.442602,66.33333333,0.017361111,155.3513092,8.2,82.89560559
P,77.4347,91.4634,774.8462,44.9802,6.5,9.9999,3172.7317,0.920987654,1.453285776,0.092163024,80,13.674649,8.957296938,0.038387346,358.1633879,89.54084697,4941.5,5,0.64116,72.91666667,0.013346354,122.1650139,4.583333333,57.7360801
W,77.1574,90.7441,777.6316,41.8754,6.333333,5.3464,3633.7123,0.978838174,0.526221698,0.033371401,82,16.990146,7.975515135,0.02271412,0,0,0,1,0.130286,86.2745098,0.004882813,32.60597563,6.933333333,102.2764288
D,91.3922,95.8773,656.5111,12.7644,5.625,0.6219,333.4147,0.16801406,-0.976029884,-0.098451316,55,22.330369,7.177093077,0.023485725,4839.336472,118.0325969,99098.5,42,18.002499,40.8956485,0.048828125,653.5671907,3.966666667,53.76192108
J,111.9217,118.2499,536.0893,5.7532,4,0.4738,147.369,1,4.195471985,0.423193742,88,21.33829,8.534668484,0.032262731,0,0,0,0,0,0,0,0,8.916666667,37.35641826
M,92.4406,100.8403,649.0652,14.3611,6.571429,0.3894,260.1354,1,2.416275655,0.2437277,62,17.221046,8.053749524,0.028549383,0,0,0,0,0,0,0,0,3.966666667,69.86846323
P,92.9856,98.1997,645.2609,13.2347,5.75,1.1088,336.3298,1,2.306747006,0.232679637,60,22.1006,7.235413249,0.019290123,0,0,0,0,0,0,0,0,5.666666667,26.85526683
W,93.4765,101.5228,641.8723,18.1944,5.222222,3.7664,947.705,1,2.499562913,0.252128816,75,20.617316,7.699660939,0.024836034,0,0,0,0,0,0,0,0,5.816666667,22.397445
D,99.3641,106.6856,603.84,17.3772,6.25,1.4618,476.8796,0.029481532,-2.302894408,-0.084022326,46,23.923102,5.800112658,0.014178241,5026.964874,116.9061599,80661.5,44,23.71267,35.92877095,0.055230035,973.5423153,3.866666667,63.03966346
J,103.9446,114.6789,577.2308,14.3585,4.333333,0.4635,170.4855,0.90572506,3.161556563,0.11535107,80,20.296748,8.461393656,0.03288966,189.0460588,47.2615147,1917.5,5,1.502795,60,0.014431424,147.8439815,6.683333333,76.59683192
M,115.9459,126.6892,517.4828,9.6189,4.461538,0.6832,105.3849,0.854911489,1.737130809,0.06338014,71,19.615879,8.136436489,0.027777778,1015.751635,78.13474116,11584,14,2.284035,58.85167464,0.021050347,234.9550188,4.966666667,21.40228252
P,114.7343,120.919,522.9474,11.6847,3.8,2.5831,186.4552,1,2.853172724,0.104099522,81,22.550324,7.562515318,0.018759645,0,0,0,0,0,0,0,0,6.866666667,62.07487664
W,117.8272,126.1034,509.2203,12.6025,5.363636,2.3398,967.1649,0.862237762,0.999538833,0.036468705,73,20.136696,7.809034617,0.022472994,673.6043169,84.20053962,4427,9,1.542968,66.24365482,0.02094184,201.5392027,6.9,143.6559547
